title,authors,authors_count_token,authors_count_numberic,abstracts,venue,year_token,year,primary_topic,keywords,Label
tabled clp reasoning stream data,edmond jajaga lule ahmedi,few_authors,-0.2344115989263833,semantic technologies extensively used integrating stream data applications however using swrl become de facto standard rule language semantic web never used stream data applications open world assumption monotonic nature makes swrl powerless continuous inference stream data example using aggregate functions particular window streams expressed swrl csparql framework supports continuous querying data streams introduce cswrl unified semantic web stream reasoning system supports continuous reasoning stream data cswrl utilizes csparql filtering aggregation rdf streams enable closedworld timeaware reasoning swrl rules moreover nonmonotonic behavior supported use owlapi constructs system presented means examples water quality monitoring,iclp,year_2016_2017,-2.6647533335990934,semantic web ontologies,sparql computer science semantic web rule language semantic web rdf linked data database information retrieval semantic computing semantic analytics,1
xailaw logic programming tool modeling explaining learning legal decisions,agostino dovier talissa dreossi andrea formisano benedetta strizzolo,many_authors,0.852405814277758,propose approach model articles italian criminal code icc using answer set programming asp semiautomatically learn legal rules examples based prior judicial decisions developed tool intended support legal experts criminal trial phase providing reasoning possible legal outcomes methodology involves analyzing encoding articles icc asp including crimes person property offenses resulting model validated set previous verdicts refined necessary encoding process contradictions may arise properly handled system also generates possible decisions new cases provides explanations tool leverages supportedness stable models automatic explainability offered tool also used clarify logic behind judicial decisions making decisionmaking process interpretable furthermore tool integrates inductive logic programming system asp employed generalize legal rules case examples,iclp,year_post_2024,0.9722427416967726,logic reasoning knowledge,set abstract data type logic programming process computing encoding memory property philosophy code set theory inductive logic programming,5
workshop proceedings 40th international conference logic programming iclpws 2024 colocated 40th international conference logic programming iclp 2024 dallas tx usa october 12th 13th 2024,esteban guerrero juan carlos nieves,few_authors,-0.2344115989263833,noabstract,iclp,year_post_2024,0.5681320666638986,logic reasoning knowledge,rewriting computer science programming language logic programming logic program theoretical computer science,1
probabilistic active goal recognition,chenyuan zhang cristian rojas cardenas hamid rezatofighi mor vered buser say,many_authors,1.3958145208798287,multiagent environments effective interaction hinges understanding beliefs intentions agents prior work goal recognition largely treated observer passive reasoner active goal recognition agr focuses strategically gathering information reduce uncertainty adopt probabilistic framework agr propose integrated solution combines joint belief update mechanism monte carlo tree search mcts algorithm allowing observer plan efficiently infer actors hidden goal without requiring domainspecific knowledge comprehensive empirical evaluation gridbased domain show joint belief update significantly outperforms passive goal recognition domainindependent mcts performs comparably strong domainspecific greedy baseline results establish solution practical robust framework goal inference advancing field toward interactive adaptive multiagent systems,kr,year_post_2024,0.9722427416967726,aibased problem solving planning,probabilistic logic observer physics field mathematics priori posteriori tree set theory exploit joint building greedy algorithm,5
heuristic strategies accelerating multiagent epistemic planning,biqing fang fangzhen lin,few_authors,-0.2344115989263833,multiagent epistemic planning mep achieving epistemic goal multiagent environment using agents actions epistemic preconditions effects recently mep received interest dynamic logic planning communities leading development several innovative planners one state art planner mepk paper propose two novel strategies enhance search methods within mepk first strategy enhancement strategy dynamically updates heuristic based search path first goalreachable node potentially reducing number nodes need explored find solution second belief lock strategy prevents planner continuing search particular state progress goal state due possession agent certain belief experiments existing benchmarks show new strategies indeed accelerate problem solving also construct new harder instances demonstrate strategies significantly improve performance hard benchmarks overall consider new planner significant improvement existing one terms computational efficiency,kr,year_post_2024,0.5681320666638986,multiagent systems negotiation,heuristic computer science artificial intelligence epistemology philosophy,1
succinctness complexity alc counting perceptrons,pietro galliani oliver kutz nicolas troquard,few_authors,0.30899710767568733,perceptron operators introduced knowledge representation languages description logics order define concepts listing features associated weights giving threshold semantically individual belongs concept weighted sum listed features belongs reaches threshold operators subsequently applied cognitivelymotivated modelling scenarios building bridges learning reasoning however suffer basic limitation consider weight number role fillers paper introduces extension basic perceptron operator language address shortcoming defining language alcp answering basic questions regarding succinctness complexity new language namely show firstly alcp weights positive language expressively equivalent alcq whilst strictly expressive general case allowing also negative weights secondly alcp shown strictly succinct alcq thirdly capitalising results concerning logic alcscc show despite added expressivity reasoning alcp remains exptimecomplete,kr,year_2022_2023,0.16402139163102464,semantic web ontologies,succinctness perceptron computer science operator biology theoretical computer science knowledge representation reasoning artificial intelligence representation politics natural language processing artificial neural network,3
action languages covid19 lessons learned,barbara katz rothman,no_author,-1.3212290121305246,noabstract,iclp,year_2020_2021,-1.0483106334675973,cyprus history politics society,computer science,2
flexible lifelong explainable robust solutions multiagent path finding problems,aysu bogatarkan,single_author,-0.7778203055284539,multiagent path finding mapf problem combinatorial search problem aims finding paths multiple agents environment without collisions subject constraints lengths paths realworld applications mapf require flexible lifelong robust explainable solutions study challenges addressed,iclp,year_post_2024,0.9722427416967726,robotic path planning algorithms,path computing minification subject documents optimization problem robustness evolution,4
planning domain model acquisition state traces without action parameters,tomáš balyo martin suda lukáš chrpa dominik šafránek stephan gocht filip dvořák roman barták g. michael youngblood,many_authors,3.0260406406860403,existing planning action domain model acquisition approaches consider different types state traces learn differences state traces refer level observability state changes full none whether observations noise state changes might inaccurately logged however best knowledge existing approaches consider state traces state change corresponds action specified name parameters objects relevant action furthermore names types parameters actions learned given assumptions strong paper propose method learns action schema state traces fully observable state changes without parameters actions responsible state changes action names part state traces although easily deduce number names actions learned domain model still need deduce number types parameters action alongside precondition effects show task least hard graph isomorphism however experimental evaluation large collection ipc benchmarks shows approach still practical number required parameters usually small compared stateoftheart learning tools sam extended sam new algorithm provide better results terms learning action models similar reference models even though uses less information fewer restrictions input traces,kr,year_post_2024,0.5681320666638986,aibased problem solving planning,computer science domain model domain mathematical analysis action physics state computer science domain analysis artificial intelligence algorithm domain knowledge programming language mathematics physics,1
chrvis syntax semantics,noauthor,no_author,-1.3212290121305246,noabstract,iclp,year_2018_2019,-1.8565319835333454,syntax semantics linguistic variation,syntax computer science programming language semantics computer science linguistics natural language processing philosophy,1
